pollen,location,from,to,value
Pinus,DEBIED,2018-05-01 00:00:00,2018-05-01 01:00:00,0.0
Poaceae,DEBIED,2018-05-01 00:00:00,2018-05-01 01:00:00,0.0
Pinus,DEBIED,2018-05-01 03:00:00,2018-05-01 04:00:00,0.0
Poaceae,DEBIED,2018-05-01 03:00:00,2018-05-01 04:00:00,0.0
Pinus,DEBIED,2018-05-01 06:00:00,2018-05-01 07:00:00,0.0
Poaceae,DEBIED,2018-05-01 06:00:00,2018-05-01 07:00:00,4.77775475
Pinus,DEBIED,2018-05-01 09:00:00,2018-05-01 10:00:00,0.0
Poaceae,DEBIED,2018-05-01 09:00:00,2018-05-01 10:00:00,4.688450923
Pinus,DEBIED,2018-05-01 12:00:00,2018-05-01 13:00:00,0.0
Poaceae,DEBIED,2018-05-01 12:00:00,2018-05-01 13:00:00,28.6665285
Pinus,DEBIED,2018-05-01 15:00:00,2018-05-01 16:00:00,0.0
Poaceae,DEBIED,2018-05-01 15:00:00,2018-05-01 16:00:00,4.77775475
Pinus,DEBIED,2018-05-01 18:00:00,2018-05-01 19:00:00,0.0
Poaceae,DEBIED,2018-05-01 18:00:00,2018-05-01 19:00:00,0.0
Pinus,DEBIED,2018-05-01 21:00:00,2018-05-01 22:00:00,0.0
Poaceae,DEBIED,2018-05-01 21:00:00,2018-05-01 22:00:00,19.12663258
Pinus,DEBIED,2018-05-02 00:00:00,2018-05-02 01:00:00,0.0
Poaceae,DEBIED,2018-05-02 00:00:00,2018-05-02 01:00:00,4.736548162
Pinus,DEBIED,2018-05-02 03:00:00,2018-05-02 04:00:00,0.0
Poaceae,DEBIED,2018-05-02 03:00:00,2018-05-02 04:00:00,0.0
Pinus,DEBIED,2018-05-02 06:00:00,2018-05-02 07:00:00,0.0
Poaceae,DEBIED,2018-05-02 06:00:00,2018-05-02 07:00:00,4.878491571
Pinus,DEBIED,2018-05-02 09:00:00,2018-05-02 10:00:00,0.0
Poaceae,DEBIED,2018-05-02 09:00:00,2018-05-02 10:00:00,33.12877115
Pinus,DEBIED,2018-05-02 12:00:00,2018-05-02 13:00:00,0.0
Poaceae,DEBIED,2018-05-02 12:00:00,2018-05-02 13:00:00,23.84983525
Pinus,DEBIED,2018-05-02 15:00:00,2018-05-02 16:00:00,0.0
Poaceae,DEBIED,2018-05-02 15:00:00,2018-05-02 16:00:00,33.44428325
Pinus,DEBIED,2018-05-02 18:00:00,2018-05-02 19:00:00,0.0
Poaceae,DEBIED,2018-05-02 18:00:00,2018-05-02 19:00:00,4.77775475
Pinus,DEBIED,2018-05-02 21:00:00,2018-05-02 22:00:00,0.0
Poaceae,DEBIED,2018-05-02 21:00:00,2018-05-02 22:00:00,0.0
Pinus,DEBIED,2018-05-03 00:00:00,2018-05-03 01:00:00,0.0
Poaceae,DEBIED,2018-05-03 00:00:00,2018-05-03 01:00:00,0.0
